sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9969,25,1,5,10000
QPSK_sim:,9961,22,2,15,10000
8PSK_sim:,9971,17,0,12,10000
16QAM_sim:,9978,15,1,6,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9969,0.0025,0.0001,0.0005,1
QPSK_sim:,0.9961,0.0022,0.0002,0.0015,1
8PSK_sim:,0.9971,0.0017,0.0,0.0012,1
16QAM_sim:,0.9978,0.0015,0.0001,0.0006,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9911,59,4,26,10000
QPSK_sim:,9900,54,6,40,10000
8PSK_sim:,9908,55,6,31,10000
16QAM_sim:,9884,68,7,41,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9911,0.0059,0.0004,0.0026,1
QPSK_sim:,0.99,0.0054,0.0006,0.004,1
8PSK_sim:,0.9908,0.0055,0.0006,0.0031,1
16QAM_sim:,0.9884,0.0068,0.0007,0.0041,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9766,156,18,60,10000
QPSK_sim:,9735,169,10,86,10000
8PSK_sim:,9697,185,14,104,10000
16QAM_sim:,9714,187,15,84,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9766,0.0156,0.0018,0.006,1
QPSK_sim:,0.9735,0.0169,0.001,0.0086,1
8PSK_sim:,0.9697,0.0185,0.0014,0.0104,1
16QAM_sim:,0.9714,0.0187,0.0015,0.0084,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9517,319,28,136,10000
QPSK_sim:,9343,414,43,200,10000
8PSK_sim:,9261,453,55,231,10000
16QAM_sim:,9213,519,46,222,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9517,0.0319,0.0028,0.0136,1
QPSK_sim:,0.9343,0.0414,0.0043,0.02,1
8PSK_sim:,0.9261,0.0453,0.0055,0.0231,1
16QAM_sim:,0.9213,0.0519,0.0046,0.0222,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9043,603,79,275,10000
QPSK_sim:,8503,940,121,436,10000
8PSK_sim:,8544,913,108,435,10000
16QAM_sim:,8378,1023,102,497,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9043,0.0603,0.0079,0.0275,1
QPSK_sim:,0.8503,0.094,0.0121,0.0436,1
8PSK_sim:,0.8544,0.0913,0.0108,0.0435,1
16QAM_sim:,0.8378,0.1023,0.0102,0.0497,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,8574,886,187,353,10000
QPSK_sim:,7248,1698,264,790,10000
8PSK_sim:,7088,1749,281,882,10000
16QAM_sim:,6672,1950,270,1108,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8574,0.0886,0.0187,0.0353,1
QPSK_sim:,0.7248,0.1698,0.0264,0.079,1
8PSK_sim:,0.7088,0.1749,0.0281,0.0882,1
16QAM_sim:,0.6672,0.195,0.027,0.1108,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,8243,1078,295,384,10000
QPSK_sim:,5589,2640,550,1221,10000
8PSK_sim:,5354,2738,590,1318,10000
16QAM_sim:,4738,2961,499,1802,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8243,0.1078,0.0295,0.0384,1
QPSK_sim:,0.5589,0.264,0.055,0.1221,1
8PSK_sim:,0.5354,0.2738,0.059,0.1318,1
16QAM_sim:,0.4738,0.2961,0.0499,0.1802,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,8134,1255,351,260,10000
QPSK_sim:,3993,3543,947,1517,10000
8PSK_sim:,3509,3603,1145,1743,10000
16QAM_sim:,2828,3696,756,2720,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8134,0.1255,0.0351,0.026,1
QPSK_sim:,0.3993,0.3543,0.0947,0.1517,1
8PSK_sim:,0.3509,0.3603,0.1145,0.1743,1
16QAM_sim:,0.2828,0.3696,0.0756,0.272,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,8368,1286,226,120,10000
QPSK_sim:,2748,4288,1334,1630,10000
8PSK_sim:,1852,3993,2054,2101,10000
16QAM_sim:,1421,3820,1109,3650,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8368,0.1286,0.0226,0.012,1
QPSK_sim:,0.2748,0.4288,0.1334,0.163,1
8PSK_sim:,0.1852,0.3993,0.2054,0.2101,1
16QAM_sim:,0.1421,0.382,0.1109,0.365,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,8596,1245,99,60,10000
QPSK_sim:,1736,4956,1600,1708,10000
8PSK_sim:,946,3937,2978,2139,10000
16QAM_sim:,664,3723,1364,4249,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8596,0.1245,0.0099,0.006,1
QPSK_sim:,0.1736,0.4956,0.16,0.1708,1
8PSK_sim:,0.0946,0.3937,0.2978,0.2139,1
16QAM_sim:,0.0664,0.3723,0.1364,0.4249,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,8803,1162,12,23,10000
QPSK_sim:,1044,5636,1566,1754,10000
8PSK_sim:,349,3170,4337,2144,10000
16QAM_sim:,323,3260,1443,4974,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8803,0.1162,0.0012,0.0023,1
QPSK_sim:,0.1044,0.5636,0.1566,0.1754,1
8PSK_sim:,0.0349,0.317,0.4337,0.2144,1
16QAM_sim:,0.0323,0.326,0.1443,0.4974,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,8988,1008,1,3,10000
QPSK_sim:,591,6419,1338,1652,10000
8PSK_sim:,74,2290,5715,1921,10000
16QAM_sim:,117,2919,1394,5570,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8988,0.1008,0.0001,0.0003,1
QPSK_sim:,0.0591,0.6419,0.1338,0.1652,1
8PSK_sim:,0.0074,0.229,0.5715,0.1921,1
16QAM_sim:,0.0117,0.2919,0.1394,0.557,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9269,731,0,0,10000
QPSK_sim:,332,7043,1065,1560,10000
8PSK_sim:,26,1339,7069,1566,10000
16QAM_sim:,45,2646,1493,5816,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9269,0.0731,0.0,0.0,1
QPSK_sim:,0.0332,0.7043,0.1065,0.156,1
