sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19934,45,2,19,20000
QPSK_sim:,19930,50,5,15,20000
8PSK_sim:,19939,37,7,17,20000
16QAM_sim:,19931,47,3,19,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9967,0.00225,0.0001,0.00095,1
QPSK_sim:,0.9965,0.0025,0.00025,0.00075,1
8PSK_sim:,0.99695,0.00185,0.00035,0.00085,1
16QAM_sim:,0.99655,0.00235,0.00015,0.00095,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19902,61,5,32,20000
QPSK_sim:,19885,69,7,39,20000
8PSK_sim:,19854,101,7,38,20000
16QAM_sim:,19897,63,7,33,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9951,0.00305,0.00025,0.0016,1
QPSK_sim:,0.99425,0.00345,0.00035,0.00195,1
8PSK_sim:,0.9927,0.00505,0.00035,0.0019,1
16QAM_sim:,0.99485,0.00315,0.00035,0.00165,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19860,96,6,38,20000
QPSK_sim:,19798,128,13,61,20000
8PSK_sim:,19761,152,13,74,20000
16QAM_sim:,19783,143,9,65,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.993,0.0048,0.0003,0.0019,1
QPSK_sim:,0.9899,0.0064,0.00065,0.00305,1
8PSK_sim:,0.98805,0.0076,0.00065,0.0037,1
16QAM_sim:,0.98915,0.00715,0.00045,0.00325,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,19777,154,10,59,20000
QPSK_sim:,19666,231,9,94,20000
8PSK_sim:,19683,197,13,107,20000
16QAM_sim:,19623,243,18,116,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
