SNR,BPSK_of_BPSK,QPSK_of_BPSK,8PSK_of_BPSK,16QAM_of_BPSK,BPSK_of_QPSK,QPSK_of_QPSK,8PSK_of_QPSK,16QAM_of_QPSK,BPSK_of_8PSK,QPSK_of_8PSK,8PSK_of_8PSK,16QAM_of_8PSK,BPSK_of_16QAM,QPSK_of_16QAM,8PSK_of_16QAM,16QAM_of_16QAM,total_classified
-10.0,0.9967,0.00225,0.0001,0.00095,0.9965,0.0025,0.00025,0.00075,0.99695,0.00185,0.00035,0.00085,0.99655,0.00235,0.00015,0.00095,20000
-9.5,0.9951,0.00305,0.00025,0.0016,0.99425,0.00345,0.00035,0.00195,0.9927,0.00505,0.00035,0.0019,0.99485,0.00315,0.00035,0.00165,20000
-9.0,0.993,0.0048,0.0003,0.0019,0.9899,0.0064,0.00065,0.00305,0.98805,0.0076,0.00065,0.0037,0.98915,0.00715,0.00045,0.00325,20000
-8.5,0.98885,0.0077,0.0005,0.00295,0.9833,0.01155,0.00045,0.0047,0.98415,0.00985,0.00065,0.00535,0.98115,0.01215,0.0009,0.0058,20000
-8.0,0.9781,0.0144,0.0009,0.0066,0.9718,0.0177,0.0014,0.0091,0.97215,0.01685,0.00135,0.00965,0.97,0.01965,0.0014,0.00895,20000
-7.5,0.96595,0.0218,0.0021,0.01015,0.9565,0.02715,0.00315,0.0132,0.95445,0.029,0.002,0.01455,0.95205,0.02995,0.0025,0.0155,20000
-7.0,0.94945,0.03145,0.00335,0.01575,0.92995,0.043,0.0045,0.02255,0.93435,0.04175,0.0037,0.0202,0.9277,0.0468,0.0042,0.0213,20000
-6.5,0.93265,0.0427,0.00535,0.0193,0.9001,0.06245,0.0069,0.03055,0.8923,0.06815,0.007,0.03255,0.8914,0.0669,0.00675,0.03495,20000
-6.0,0.9157,0.05225,0.00805,0.024,0.85755,0.08775,0.011,0.0437,0.85755,0.0914,0.0108,0.04025,0.84265,0.0988,0.01015,0.0484,20000
-5.5,0.88155,0.07225,0.01145,0.03475,0.79595,0.1261,0.017,0.06095,0.77875,0.13515,0.0181,0.068,0.7614,0.1445,0.0157,0.0784,20000
-5.0,0.8497,0.093,0.01745,0.03985,0.73855,0.16095,0.0238,0.0767,0.7053,0.17805,0.02855,0.0881,0.67665,0.19295,0.02575,0.10465,20000
-4.5,0.83965,0.0991,0.0252,0.03605,0.64695,0.2115,0.03825,0.1033,0.6395,0.214,0.0446,0.1019,0.56685,0.24855,0.03845,0.14615,20000
-4.0,0.82575,0.1084,0.0286,0.03725,0.55555,0.26435,0.05415,0.12595,0.51435,0.27895,0.06315,0.14355,0.4902,0.28725,0.0478,0.17475,20000
-3.5,0.81815,0.1164,0.0332,0.03225,0.4797,0.3107,0.07345,0.13615,0.4305,0.3214,0.0919,0.1562,0.3828,0.33235,0.0612,0.22365,20000
-3.0,0.8272,0.1175,0.031,0.0243,0.3965,0.35485,0.09195,0.1567,0.3372,0.36195,0.1205,0.18035,0.28295,0.3704,0.0811,0.26555,20000
-2.5,0.81275,0.13065,0.0344,0.0222,0.3243,0.3917,0.1096,0.1744,0.25855,0.38995,0.1604,0.1911,0.21125,0.3854,0.0947,0.30865,20000
-2.0,0.82585,0.13365,0.024,0.0165,0.26695,0.43585,0.12645,0.17075,0.1847,0.39835,0.2069,0.21005,0.15935,0.38605,0.1047,0.3499,20000
-1.5,0.8455,0.1309,0.0142,0.0094,0.21295,0.47085,0.1435,0.1727,0.1301,0.4037,0.2537,0.2125,0.1056,0.383,0.1267,0.3847,20000
-1.0,0.8559,0.128,0.0101,0.006,0.17245,0.4998,0.1515,0.17625,0.09255,0.3848,0.3139,0.20875,0.0722,0.36765,0.1319,0.42825,20000
-0.5,0.86755,0.12415,0.005,0.0033,0.13235,0.54155,0.15215,0.17395,0.05615,0.35925,0.3662,0.2184,0.0457,0.3605,0.14075,0.45305,20000
0.0,0.87495,0.1197,0.0029,0.00245,0.10445,0.5671,0.1527,0.17575,0.0312,0.32,0.4375,0.2113,0.0301,0.34505,0.1478,0.47705,20000
0.5,0.8917,0.10605,0.0009,0.00135,0.0784,0.61475,0.14465,0.1622,0.0174,0.27695,0.5099,0.19575,0.02155,0.30585,0.1415,0.5311,20000
1.0,0.897,0.10215,0.0003,0.00055,0.0634,0.6425,0.13255,0.16155,0.0083,0.2242,0.5811,0.1864,0.01375,0.30435,0.14685,0.53505,20000
1.5,0.9132,0.08665,0.0001,5e-05,0.04375,0.6751,0.11885,0.1623,0.0048,0.18365,0.63965,0.1719,0.0068,0.2741,0.1472,0.5719,20000
2.0,0.92655,0.0734,0.0,5e-05,0.03315,0.6995,0.10955,0.1578,0.0026,0.14285,0.7009,0.15365,0.0037,0.24225,0.13245,0.6216,20000
2.5,0.93915,0.06085,0.0,0.0,0.02375,0.7381,0.09515,0.143,0.00125,0.10315,0.7664,0.1292,0.0042,0.2688,0.13165,0.59535,20000
3.0,0.95065,0.04935,0.0,0.0,0.0157,0.76935,0.077,0.13795,0.00035,0.06115,0.83055,0.10795,0.00305,0.25555,0.12405,0.61735,20000
3.5,0.9589,0.0411,0.0,0.0,0.00995,0.79585,0.0671,0.1271,0.00015,0.0476,0.86215,0.0901,0.00175,0.2347,0.12285,0.6407,20000
4.0,0.96805,0.03195,0.0,0.0,0.0066,0.81685,0.05075,0.1258,0.0001,0.0289,0.9039,0.0671,0.001,0.21065,0.11235,0.676,20000
4.5,0.97605,0.02395,0.0,0.0,0.0044,0.83845,0.04275,0.1144,0.0,0.0204,0.9301,0.0495,0.0019,0.2156,0.1078,0.6747,20000
5.0,0.9807,0.0193,0.0,0.0,0.002,0.85995,0.03255,0.1055,0.0,0.01125,0.9515,0.03725,0.0006,0.2041,0.10085,0.69445,20000
5.5,0.984,0.016,0.0,0.0,0.00135,0.8767,0.029,0.09295,0.0,0.00595,0.9691,0.02495,0.00035,0.20265,0.0892,0.7078,20000
6.0,0.98805,0.01195,0.0,0.0,0.00065,0.8921,0.0254,0.08185,5e-05,0.003,0.98025,0.0167,0.00085,0.18515,0.07675,0.73725,20000
6.5,0.9913,0.0087,0.0,0.0,0.0003,0.90295,0.0235,0.07325,0.0,0.0022,0.9868,0.011,5e-05,0.16525,0.07065,0.76405,20000
